ptl,etal,energyl,ptj,etaj,energyj,massj,mjj,rjj,rjl,met,n21_1,n21_2,n32_1,n32_2,infl,drfl
146.678,0.324623,154.474,184.464,0.738847,237.948,19.5255,324.176,2.45177,2.32919,471.989,0.494595,0.533782,0.598982,0.860668,264.599,1.54751
236.321,-0.809217,318.012,530.525,-0.148464,538.045,42.2643,555.846,2.80469,0.685896,452.579,0.0507227,0.713346,0.464177,0.650322,165.855,0.239934
138.169,-1.05802,102.391,561.522,0.991408,865.593,90.6233,650.238,2.3811,2.06274,1057.32,0,0.262554,0.726286,0.733593,68.5965,1.47287
174.713,0.0322083,174.803,211.397,1.03056,334.585,20.623,83.0118,0.75792,3.24971,718.245,0.138512,0.367551,0.650708,0.763548,175.831,2.02971
175.369,-0.674444,216.789,135.545,-1.86258,447.274,15.6826,73.8204,0.699532,1.27792,792.237,0.113448,0.227044,0.552061,0.831287,422.603,1.16205
135.107,0.455307,149.355,323.325,-0.583163,380.783,26.2223,991.122,2.89222,3.04416,392.692,0.288024,0.350772,0.54889,0.552789,117.049,1.65143
237.021,1.09217,393.007,247.305,0.630952,298.61,15.91,193.18,1.18213,3.17192,764.559,0.0486419,0.119003,0.0635191,0.319488,420.616,3.48484
133.033,-2.28079,657.621,148.486,-1.20958,271.921,22.1728,208.019,2.71204,1.07191,1278.56,0.235481,0.705887,0.472358,0.556249,87.397,0.846766
269.073,-0.152448,272.206,143.223,-0.833224,198.133,29.7708,188.048,1.26763,0.724432,330.626,0.285024,0.440094,0.359568,0.404582,38.1145,0.20477
223.195,1.70501,634.234,469.782,-0.292294,491.32,36.0775,731.133,1.27005,3.49457,549.499,0.266563,0.333972,0.500471,0.560975,441.89,0.283475
195.612,0.731977,250.397,130.001,-0.62286,156.671,14.0008,76.6212,0.844591,2.90957,161.307,0.446933,0.457622,0.531579,0.67625,229.947,1.52819
169.778,-1.89848,579.416,114.858,1.55262,283.653,10.9277,86.8533,1.8803,3.11413,638.329,0.435176,0.583896,0.295472,0.452807,200.499,2.93141
152.991,0.0139255,153.005,286.359,0.47822,324.119,53.1429,262.948,2.71527,0.676075,145.618,0.0181536,0.358667,0.0315498,0.306472,77.0145,0.975724
184.741,0.767974,241.95,224.784,-0.991159,348.26,50.7841,87.5831,0.582231,1.77323,554.577,0.2682,0.271228,0.700144,0.703349,605.414,2.66051
120.106,1.32839,242.607,212.041,1.40103,457.06,22.7261,525.165,3.65858,2.28739,300.864,0.457285,0.705936,0.310836,0.679881,368.686,3.15233
229.749,1.82116,728.407,359.6,-0.00918795,364.787,61.2053,400.633,2.5339,3.39157,694.987,0.44587,0.829763,0.576658,0.790344,227.948,2.42405
176.19,-1.42101,386.101,245.973,-0.041614,247.288,23.3135,93.2595,2.85089,3.26998,326.081,0.30515,0.530985,0.345312,0.495648,177.332,1.97577
192.481,0.384333,206.873,274.606,-0.0665882,275.694,16.2401,216.011,1.24433,2.96286,442.906,0.66666,0.674356,0.45373,0.491904,125.793,1.35723
200.472,0.210686,204.938,566.43,-1.18912,1019.45,79.2904,718.252,2.08398,3.25196,628.019,0,0.0965587,0.578545,0.631898,224.664,2.81377
118.242,-1.90247,405.075,135.545,0.232955,140.458,18.4564,86.0663,0.756017,2.14969,390.619,0.18215,0.558806,0.523522,0.567627,45.3018,0.609674
134.315,2.32454,693.051,137.729,0.682211,171.73,15.3585,85.225,1.01513,2.88287,581.592,0.456576,0.568521,0.545563,0.617883,129.37,1.44118
136.754,1.97672,503.089,125.979,1.3491,259.663,17.0399,146.312,2.02637,1.02606,1014.72,0.586458,0.64227,0.66642,0.693471,137.615,2.00011
120.493,0.333384,127.252,274.029,-0.220184,281.781,24.6753,514.978,2.42651,3.04975,1448.52,0,0.260832,0.513337,0.527439,80.5658,1.12656
177.239,0.989851,271.394,348.772,0.638118,422.64,18.7628,564.428,2.788,3.01543,533.857,0.335675,0.373599,0.529094,0.816107,159.696,1.1706
209.864,0.917477,304.565,211.736,-0.736555,272.27,15.7442,86.8657,0.601913,3.24775,45.4565,0,0.0889765,0.649683,0.670921,146.667,1.32942
139.739,0.18502,142.138,131.926,0.294499,138.06,10.1349,98.3329,0.997473,0.197979,84.5804,0.00540567,0.540962,0.454185,0.483336,202.683,2.6624
197.953,-0.64717,240.875,143.99,0.772411,191.152,27.787,118.608,0.893115,1.44313,395.394,0.229614,0.276205,0.500476,0.541443,198.07,2.86041
145.256,0.872846,204.192,247.536,1.84448,804.216,54.3353,79.4785,0.526651,3.20733,1410.28,0.285206,0.537212,0.498984,0.66079,96.0924,1.36136
139.116,1.84441,450.908,205.063,-0.150962,208.082,16.7856,368.784,1.62381,3.70304,1757.61,0.106197,0.601717,0.762889,0.845452,693.215,0.694009
148.578,-0.154622,150.358,235.014,0.249145,246.014,42.3241,375.289,1.97682,0.708748,788.89,0.211239,0.223724,0.218304,0.498377,63.9717,0.87828
201.899,-1.78851,620.611,107.083,-0.750951,139.786,17.2123,100.537,1.33506,1.05831,226.133,0.28627,0.630633,0.626117,0.808154,316.53,3.29804
136.984,-0.731652,175.313,166.803,1.77084,505.17,30.5237,70.5993,2.57092,3.95576,881.196,0.0129578,0.28696,0.302467,0.335132,630.704,1.26752
172.559,1.23802,322.575,186.491,0.0510939,188.833,28.0714,101.441,0.728842,2.72809,2596.59,0.159806,0.584989,0.352362,0.777904,254.995,2.08487
137.022,2.22193,639.446,142.331,0.403238,154.391,10.0946,91.8377,1.34753,3.55155,1930.7,0.298202,0.567058,0.179693,0.426113,159.293,1.92937
222.457,-0.248987,229.389,521.901,0.256165,541.53,51.051,891.64,1.50046,0.51894,104.962,0.66148,0.868941,0.272403,0.620137,228.071,0.987762
142.466,-1.39641,305.457,202.8,-1.24241,381.124,21.4774,79.6516,0.53159,3.1171,506.848,0.0749146,0.357879,0.380095,0.492305,146.292,1.19988
215.642,1.26503,412.463,123.79,0.298298,130.814,19.5894,273.915,2.51868,1.50844,406.739,0.0904573,0.425372,0.478916,0.484461,184.909,2.28702
152.542,1.55388,376.872,313.498,0.894975,453.782,74.3035,508.72,0.808177,2.76942,1011.56,0.0391577,0.206366,0,0.858764,11.4331,0.0141985
205.515,-1.52891,496.309,131.104,0.5034,148.747,14.1725,165.137,1.2184,3.298,219.884,0,0.47156,0.29605,0.504042,30.8911,0.378651
